ID,Q0_age,Q0_gender,Q0_race_US,Q0_education_US,Q0_employment_US,Q0_state_US,Q0_postcode,Q1_home_ID_NL_US,Q2_floors_1,Q2_floors_2,Q2_floors_3,Q3_constr_qual,Q4_home_size_US,Q5_home_tenure,Q5a_mortgage,Q5b_home_sell,Q6_home_costs,Q7_move_in,Q8_move_out,Q9_easy_leave,Q10_community,Q11_search_improve,Q11_search_social,Q11_search_family,Q11_search_area,Q11_search_job,Q11_search_location,Q11_search_hazard,Q11_search_other,Q11_search_dontknow,Q11a_hazard_type1,Q11a_hazard_type2,Q11a_hazard_type3,Q11a_hazard_type4,Q11a_hazard_type5,Q11a_hazard_type6,Q11a_hazard_type7,Q11a_hazard_type8,Q11a_hazard_type9,Q11a_not_say,Q12_risk_aversion,R01_resilience_1,R01_resilience_2,R01_resilience_3,R01_resilience_4,R01_resilience_5,R01_resilience_6,Q14_early_warn,Q15_responsibility,Q16_compens_gov,Q17_compens_noone,Q17_compens_ins,Q17_compens_owner,Q17_compens_family,Q17_compens_ngo,Q17_compens_other,Q17_compens_dont_know,Q18_flood_exp,Q18a_flood_where,Q18b_flood_year,Q18c_flood_health,Q18ci_flood_work,Q18d_flood_cost,Q20_evac_accom,Q21_support_financial,Q22_gov_measures,R02_perc_prob,Q24_perc_prob_change,R03_perc_damage,Q27_perc_prob_30y,R04_perc_health,R05_worry,R06a_media_freq,R06b_social_media_freq,Q31a_media_trust,Q31b_social_media_trust,Q32_climate_belief,Q33_climate_affect,R1a_self_efficacy_SM1,R1a_self_efficacy_SM2,R1a_self_efficacy_SM3,R1a_self_efficacy_SM4,R1a_self_efficacy_SM5,R1a_self_efficacy_SM6,R1a_self_efficacy_SM7,R1b_resp_efficacy_SM1,R1b_resp_efficacy_SM2,R1b_resp_efficacy_SM3,R1b_resp_efficacy_SM4,R1b_resp_efficacy_SM5,R1b_resp_efficacy_SM6,R1b_resp_efficacy_SM7,R1c_perc_cost_SM1,R1c_perc_cost_SM2,R1c_perc_cost_SM3,R1c_perc_cost_SM4,R1c_perc_cost_SM5,R1c_perc_cost_SM6,R1c_perc_cost_SM7,R2_implementation_SM1,R2_implementation_SM2,R2_implementation_SM3,R2_implementation_SM4,R2_implementation_SM5,R2_implementation_SM6,R2_implementation_SM7,Q37_dam_reduction,R1a_self_efficacy_NM1 ,R1a_self_efficacy_NM2,R1a_self_efficacy_NM3,R1a_self_efficacy_NM4,R1a_self_efficacy_NM5,R1a_self_efficacy_NM6,R1a_self_efficacy_NM7,R1a_self_efficacy_NM8,R1a_self_efficacy_NM9,R1a_self_efficacy_NM10,R1a_self_efficacy_NM11,R1b_resp_efficacy_NM1,R1b_resp_efficacy_NM2,R1b_resp_efficacy_NM3,R1b_resp_efficacy_NM4,R1b_resp_efficacy_NM5,R1b_resp_efficacy_NM6,R1b_resp_efficacy_NM7,R1b_resp_efficacy_NM8,R1b_resp_efficacy_NM9,R1b_resp_efficacy_NM10,R1b_resp_efficacy_NM11,R1c_perc_cost_NM1,R1c_perc_cost_NM2,R1c_perc_cost_NM3,R1c_perc_cost_NM4,R1c_perc_cost_NM5,R1c_perc_cost_NM6,R1c_perc_cost_NM7,R1c_perc_cost_NM8,R1c_perc_cost_NM9,R1c_perc_cost_NM10,R1c_perc_cost_NM11,R2_implementation_NM1,R2_implementation_NM2,R2_implementation_NM3,R2_implementation_NM4,R2_implementation_NM5,R2_implementation_NM6,R2_implementation_NM7,R2_implementation_NM8,R2_implementation_NM9,R2_implementation_NM10,R2_implementation_NM11,Q41_ins_CN_ID_US,Q41a_property_CN_ID_US,Q41a_possessions_CN_ID_US,Q41b_ins_intention_CN_ID_US,Q41c_ins_self_efficacy_CN_ID_US,Q42_ins_resp_efficacy_CN_ID_US,Q43_ins_perc_cost_CN_ID_US,Q44_social_expectation,R07_adaptation_others,Q47a_employer_type_US,Q47b_industry_type_US,Q48_business_owner,Q50_employer_size,Q51_unempl_time,Q52_multiple_income,Q52a_income_job,Q53_income_US,R08_economic_comfort,R09_savings_change,R09a_savings_change_frac,Q56_savings_change_future,Q56a_savings_change_future_frac,Q57_hh_size_US,Q58_savings,Q59_disability,Q60_child,Q60_elder,Q60_no,Q60_not_say,Q61_single_parent,Q61
1062,6,1,3,5,1,48,77459.0,3,0.0,1.0,0.0,1,6,2,3.0,300.0,1000,1996,4,1,0,0,0,1,1,0,1,0,0,0,,,,,,,,,,,1,3,3,3,4,3,4,0,3,83.0,0,1,0,0,0,0,0,0,,,,,,1,2,2,2,2,3,50.0,3,3,5,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,5,1,5,1,1,1,5,1,1,5,5,5,1,5,1,2,2,5,2,2,4,4,1,5,3,3,2,3,3,3,3,3,3,1,6,1,6,6,2,3,2,2,2,2,1,100.0,65.0,,,2,5,5,98,96.0,96.0,0,3.0,4.0,0,,3,3,1,5,98,,2,3,0,0,0,1,0,0.0,
1119,6,1,1,6,5,12,33315.0,1,0.0,0.0,1.0,1,6,2,4.0,360000.0,2500,2007,4,2,1,0,1,0,0,0,1,0,1,0,,,,,,,,,,,2,3,3,3,2,1,3,1,2,61.0,0,1,0,1,0,0,0,0,,,,,,0,97,2,7,1,2,0.0,2,3,4,1,5,2,1,3,1,1,1,1,1,1,1,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.0,5,3,1,4,4,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,3,1,3,4,3,3,1,1,2,2,3,1,1,5,1,1,1,1,1,3,3,1,1,1,2.0,2.0,,,2,4,3,7,,,0,,,0,,3,5,2,,3,20.0,2,7,0,0,0,1,0,0.0,
1125,5,1,1,5,5,48,77035.0,3,0.0,1.0,0.0,2,6,1,,,1800,2011,1,1,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,4,2,3,3,2,3,3,1,3,75.0,0,1,0,0,0,0,0,1,1.0,2000.0,0.0,,15000.0,1,3,3,3,1,98,50.0,3,3,3,3,4,3,1,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,4,4,3,3,4,4,6,6,6,6,6,6,6,,5,3,3,4,3,1,5,5,5,5,4,4,4,4,4,4,3,4,4,3,4,4,1,3,4,1,1,5,1,1,1,2,1,1,6,6,1,1,6,1,1,1,1,1,3,,,0.0,1.0,3,5,3,98,,,0,,,1,9.0,99,4,3,10,2,,2,6,1,0,0,1,0,0.0,
1132,6,2,2,6,1,12,33320.0,1,0.0,0.0,1.0,2,6,1,,,1750,2018,98,1,1,1,0,0,1,0,1,0,1,0,,,,,,,,,,,3,2,5,4,2,3,5,1,3,20.0,0,1,1,0,1,0,0,0,,,,,,1,2,2,2,2,98,5.0,2,1,4,2,4,2,1,3,1,1,1,1,1,3,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2,6,6,6,6,6,6,3,98.0,5,5,1,3,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,2,4,1,1,3,1,1,1,1,1,1,2,6,1,1,2,1,1,1,1,2,2,25.0,99.0,,,98,1,4,98,2.0,20.0,0,3.0,2.0,1,5.0,99,4,2,,98,,1,99,0,0,0,1,0,0.0,
1157,5,2,3,2,5,12,33178.0,3,0.0,1.0,1.0,2,98,97,,,2000,2020,1,5,0,1,1,0,1,0,1,0,0,0,,,,,,,,,,,3,3,3,3,3,3,4,98,5,,0,1,0,0,0,0,0,0,,,,,,1,2,2,1,2,3,10.0,3,4,3,3,3,3,1,3,1,3,4,3,3,3,3,2,4,5,5,3,3,5,5,4,5,4,3,5,4,6,4,3,3,3,2,3,2.0,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5,4,4,4,4,5,5,3,4,5,3,3,3,3,3,3,4,3,1,3,2,2,2,3,1,2,2,2,2,2,65.0,50.0,,,2,4,4,7,,,0,,,0,,3,4,1,25,1,30.0,4,2,0,1,0,0,0,0.0,
1284,5,2,2,5,2,48,77584.0,3,0.0,0.0,1.0,1,6,2,4.0,125000.0,1700,1996,98,3,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,4,1,2,3,1,1,3,,0,1,0,0,0,0,0,0,,,,,,0,2,2,98,2,2,10.0,2,2,2,1,3,1,1,3,1,1,1,1,4,1,3,4,4,3,3,3,4,4,5,5,5,3,3,4,3,6,6,6,6,6,6,6,,5,5,3,5,5,1,5,5,5,5,3,4,4,3,1,3,4,4,4,3,2,4,1,2,4,1,1,4,1,1,1,1,2,1,6,1,6,3,6,1,6,6,1,3,1,88.0,76.0,,,2,2,1,98,2.0,17.0,0,98.0,1.0,1,99.0,99,99,98,,3,45.0,5,98,0,0,0,1,0,0.0,
1295,6,2,1,6,7,48,77024.0,3,0.0,1.0,1.0,1,6,2,4.0,2000000.0,6300,2014,4,1,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,2,4,3,4,4,2,5,1,3,12.0,0,1,0,0,0,0,0,0,,,,,,1,5,3,1,1,1,10.0,2,1,2,2,2,2,97,98,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,3,3,4,4,2,3,1,1,6,1,1,1,6,4.0,5,4,5,3,4,5,5,5,5,5,5,5,3,5,2,4,5,5,4,2,5,5,1,2,4,1,1,3,1,1,1,1,1,1,6,6,3,1,1,1,1,1,1,1,3,,,0.0,1.0,3,2,3,7,,,0,,,1,6.0,5,4,2,,1,8000.0,2,7,0,0,0,1,0,0.0,
1336,6,1,1,5,2,12,33321.0,1,0.0,0.0,1.0,2,6,2,6.0,150000.0,800,2014,98,5,1,0,1,0,0,0,1,0,1,0,,,,,,,,,,,3,1,3,2,1,1,3,1,2,61.0,0,1,0,1,1,0,0,0,,,,,,1,5,2,98,1,98,30.0,3,1,3,1,4,1,1,3,1,1,1,1,3,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,,5,3,3,3,3,3,5,5,4,5,5,4,3,3,4,4,4,4,4,4,4,4,1,3,3,1,1,1,2,2,2,2,2,1,6,6,1,1,1,1,1,1,1,1,3,,,0.0,1.0,3,2,2,1,6.0,9.0,0,1.0,2.0,1,2.0,2,4,2,,2,,2,7,1,0,0,1,0,0.0,
1519,4,2,4,6,2,48,77083.0,3,0.0,0.0,1.0,3,6,2,4.0,200000.0,900,1989,4,4,0,0,0,0,1,1,1,0,1,0,,,,,,,,,,,1,3,3,3,3,3,3,0,3,,0,1,0,1,1,0,0,0,,,,,,1,2,2,2,2,2,35.0,2,2,4,3,4,2,1,3,2,2,2,1,1,1,1,2,3,3,2,2,2,1,4,4,4,4,4,4,4,6,6,5,5,6,6,6,2.0,3,3,2,2,3,2,4,2,2,4,1,5,3,4,2,3,1,4,2,2,5,2,2,4,5,5,3,2,2,2,2,4,2,2,6,6,6,1,6,2,6,6,2,6,2,60.0,72.0,,,3,3,3,98,1.0,16.0,0,2.0,2.0,1,3.0,1,3,2,,2,,3,1,1,0,1,0,0,1.0,0.0
2044,3,1,3,5,1,12,33157.0,2,0.0,1.0,0.0,3,6,1,,,1600,2017,2,2,0,1,0,1,1,0,1,0,0,0,,,,,,,,,,,4,4,4,3,5,3,3,0,3,50.0,0,1,0,1,1,0,0,0,,,,,,1,5,3,8,1,5,50.0,4,3,3,2,5,2,1,3,1,1,1,1,1,3,3,1,1,1,3,2,1,1,5,5,5,3,4,4,4,6,6,6,6,6,6,6,,5,5,3,4,4,1,5,4,1,5,5,5,3,5,4,4,4,3,4,3,4,4,1,3,4,2,1,5,4,1,1,3,4,5,5,5,6,6,6,6,6,6,5,6,3,,,0.0,0.0,2,3,1,1,2.0,17.0,0,12.0,3.0,1,9.0,3,3,1,99,1,50.0,5,1,0,1,0,0,0,1.0,0.0
