ID,R2_implementation_yes_SM1,R2_implementation_yes_SM2,R2_implementation_yes_SM3,R2_implementation_yes_SM4,R2_implementation_yes_SM5,R2_implementation_yes_SM6,R2_implementation_yes_SM7,R2_implementation_yes_NM1,R2_implementation_yes_NM2,R2_implementation_yes_NM3,R2_implementation_yes_NM4,R2_implementation_yes_NM5,R2_implementation_yes_NM6,R2_implementation_yes_NM7,R2_implementation_yes_NM8,R2_implementation_yes_NM9,R2_implementation_yes_NM10,R2_implementation_yes_NM11,R2_implementation_yes_ins,Q2_other_adaptation_SM1,Q2_other_adaptation_SM2,Q2_other_adaptation_SM3,Q2_other_adaptation_SM4,Q2_other_adaptation_SM5,Q2_other_adaptation_SM6,Q2_other_adaptation_SM7,Q2a_other_adaptation_text,R02_perc_prob,R02_perc_prob_other_text,R03_perc_damage,R05_worry,R013_recent_flood_exp,R013a_recent_flood_damage,R013c_recent_flood_cost,R01_resilience_5,R01_resilience_6,R09a_savings_change,R09_savings_change_frac,R012_lost_job,R012a_lost_job_impact,Q25_fl_convo_times,Q25a_fl_convo_local,Q26_measures_advice,Q27_fl_convo_people,Q28_convo_resp_efficacy,Q28_convo_costs,Q28_convo_prob,Q28_convo_severity,Q28_convo_worry,Q28_convo_community,Q28_convo_gov,Q29a_adapt_p1,Q29a_adapt_p2,Q29a_adapt_p3,Q29d_distance_p1,Q29d_distance_p2,Q29d_distance_p3,Q29f_com_freq_p1,Q29f_com_freq_p2,Q29f_com_freq_p3,Q29g_flood_com_freq_p1,Q29g_flood_com_freq_p2,Q29g_flood_com_freq_p3,Q29i_worry_p1,Q29i_worry_p2,Q29i_worry_p3,Q29j_valuable_exp_p1,Q29j_valuable_exp_p2,Q29j_valuable_exp_p3,Q30_adapt_against,Q31_give_advice,Q32_influence,Q33_ask_advice_family,Q33_ask_advice_neighbor,Q33_ask_advice_colleague,Q33_ask_advice_online,Q33_ask_advice_expert,Q33_ask_advice_teacher,Q33_ask_advice_ngo,Q33_ask_advice_gov,Q33_ask_advice_other,Q33_ask_advice_dont_know,Q33_ask_advice_never,Q33_ask_advice_other_text,Q34_influential_family,Q34_influential_neighbor,Q34_influential_colleague,Q34_influential_online,Q34_influential_expert,Q34_influential_teacher,Q34_influential_ngo,Q34_influential_gov,Q34_influential_other,Q34_influential_dont_know,Q34_influential_noone,Q34_influential_other_text,Q16_compens_gov,Q37_govern,Q38_market,Q39_technology,Q40_nature,Q41a_media_freq,Q41b_s_media_freq,Q42_local_gov_info,Q42a_local_gov_trust,Q42b_local_gov_act,Q43_national_gov_info,Q43a_national_gov_trust,Q43b_national_gov_act,Q44_trust_pm,Q44_trust_gov_rep,Q44_trust_family,Q44_trust_media,Q44_trust_s_media,Q28_knowledge,Q45_policies_relocate,Q45_policies_research,Q45_policies_subsidies,Q45_policies_information,Q45_policies_large_infra,Q45_policies_zoning,Q45_policies_buildings,Q45_policies_seawall,Q45_policies_elevation,Q45_policies_other,Q45_policies_dont_know,Q45_policies_other_text,Q46_issues_CC_adapt,Q46_issues_CC_mitigate,Q46_issues_inequality,Q46_issues_conflict,Q46_issues_education,Q46_issues_health,Q46_issues_food,Q46_issues_housing,Q46_issues_economy,Q46_issues_other,Q29c_similar_flood_p1,Q29c_similar_house_p1,Q29c_similar_edu_p1,Q29c_similar_inc_p1,Q29c_similar_age_p1,Q29c_similar_none_p1,Q29c_similar_flood_p2,Q29c_similar_house_p2,Q29c_similar_edu_p2,Q29c_similar_inc_p2,Q29c_similar_age_p2,Q29c_similar_none_p2,Q29c_similar_flood_p3,Q29c_similar_house_p3,Q29c_similar_edu_p3,Q29c_similar_inc_p3,Q29c_similar_age_p3,Q29c_similar_none_p3,Q29b_who_family_p1,Q29b_who_neighbor_p1,Q29b_who_colleague_p1,Q29b_who_online_p1,Q29b_who_gov_p1,Q29b_who_other_p1,Q29b_who_family_p2,Q29b_who_neighbor_p2,Q29b_who_colleague_p2,Q29b_who_online_p2,Q29b_who_gov_p2,Q29b_who_other_p2,Q29b_who_family_p3,Q29b_who_neighbor_p3,Q29b_who_colleague_p3,Q29b_who_online_p3,Q29b_who_gov_p3,Q29b_who_other_p3,Q29e_com_street_p1,Q29e_com_call_p1,Q29e_com_gatherings_p1,Q29e_com_work_p1,Q29e_com_other_p1,Q29e_com_street_p2,Q29e_com_call_p2,Q29e_com_gatherings_p2,Q29e_com_work_p2,Q29e_com_other_p2,Q29e_com_street_p3,Q29e_com_call_p3,Q29e_com_gatherings_p3,Q29e_com_work_p3,Q29e_com_other_p3,Q29h_com_what_cause_p1,Q29h_com_what_measures_p1,Q29h_com_what_community_p1,Q29h_com_what_gov_react_p1,Q29h_com_what_gov_adapt_p1,Q29h_com_what_livability_p1,Q29h_com_what_cause_p2,Q29h_com_what_measures_p2,Q29h_com_what_community_p2,Q29h_com_what_gov_react_p2,Q29h_com_what_gov_adapt_p2,Q29h_com_what_livability_p2,Q29h_com_what_cause_p3,Q29h_com_what_measures_p3,Q29h_com_what_community_p3,Q29h_com_what_gov_react_p3,Q29h_com_what_gov_adapt_p3,Q29h_com_what_livability_p3,Q29h_com_what_other_p1,Q29h_com_what_other_p2,Q29h_com_what_other_p3,Q35_responsibility_citizens,Q35_responsibility_business,Q35_responsibility_ngo_local,Q35_responsibility_ngo_international,Q35_responsibility_gov_local,Q35_responsibility_gov_national,Q35_responsibility_w_authorities,Q35_responsibility_other
1193, , , , , , , , , , , , , , , , , , , ,1,3,3,3,3,3,3,No,1,,2,1,0, , ,3,3,3, ,2, ,0, ,4,0, , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,0,0,0,0,0,0,0,0,0,1,0,__NA__,0,0,0,0,0,0,0,0,0,0,1,__NA__, ,4,3,3,3,4,7,0, , ,0, , ,2,4,3,3,98,1,0,0,1,0,0,1,1,0,0,0,0,__NA__,9,8,7,2,5,6,3,4,1,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,0,0,0,0,25,25,50,0
1200, , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,I live in apartment for rent,1,,3,3,0, , ,4,3,2,10,2, ,0, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,1,0,0,0,1,0,0,1,0,0,0,__NA__,0,0,0,0,0,0,0,0,0,0,1,__NA__, ,5,5,5,5,1,7,1,4,4,1,4,4,2,5,98,98,1,2,1,0,0,0,1,0,1,0,0,0,0,__NA__,6,9,8,5,3,7,4,2,1,None, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,0,0,0,0,100,0,0,0
1232, , , , , , , , , , , , , , , , , , ,2,3,3,3,3,3,3,3,No,98,,98,3,0, , ,2,3,3, ,1,3,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,1,0,0,0,0,0,0,0,0,0,0,__NA__,1,0,0,0,0,0,0,0,0,0,0,__NA__,95,2,3,3,3,3,3,0, , ,0, , ,1,1,3,4,3,2,0,0,0,0,1,0,1,0,1,0,0,__NA__,3,6,1,9,5,8,2,7,4,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,0,0,0,0,50,50,0,0
1284, , , , , , , , , , , , , , , , , ,2, ,3,3,3,3,3,3,3,na,98,,98,2,0, , ,3,2,3, ,2, ,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,0,0,0,0,0,0,0,0,0,__NA__,0,0,0,0,0,0,0,0,0,0,1,__NA__, ,3,2,5,4,7,7,0, , ,0, , ,98,4,98,4,1,1,0,1,0,1,0,1,0,0,0,0,0,__NA__,6,7,8,9,2,1,5,4,3,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,10,10,5,0,15,35,25,0
1295, , , , , , , , , , , , , , , , , , , , , ,3, , , ,3,no,2,,1,1,0, , ,1,3,2,5,2, ,2,1,4,3,4,4,3,3,4,4,2,2,2,2,3,2,3,2,1,2,3,3,3,1,2,1,3,3,3,4,3,3,0,0,0,0,1,0,0,0,0,0,0,__NA__,0,0,0,0,0,0,0,0,0,0,1,__NA__, ,5,5,4,4,2,7,1,3,4,0, , ,1,3,4,2,1,2,0,0,0,1,0,1,0,0,0,0,0,__NA__,7,8,9,1,3,5,4,6,2,no,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,,,,40,30,0,0,5,5,20,0
1352, , , , , , , , , , , ,2, , , , , ,1, ,3,3,3,2,3,3,3,No,1,,2,1,0, , ,1,3,1,20,2, ,2,2,2, , , , , , , , ,2,2,2,1,4,4,1,1,1,3,3,3,2,2,2,5,5,5,4,3,4,0,0,0,0,1,0,0,0,0,0,0,__NA__,1,0,0,1,1,0,0,0,0,0,0,__NA__,70,3,3,5,5,1,2,1,5,2,0, , ,4,5,2,4,3,1,1,0,0,0,1,0,0,0,1,0,0,__NA__,7,4,8,3,2,6,5,9,1,,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,,,,0,0,0,0,50,50,0,0
1415, , , , , , , , , , , ,3, ,2, , , ,2, ,3,3,3,3,3,3, ,No.,1,,2,1,0, , ,2,2,3, ,2, ,0, ,3, , , , , , , , ,98,98,98,98,98,98,5,5,5,5,5,5,98,98,98,3,3,3,1,1,1,0,0,1,0,1,0,0,0,0,0,0,__NA__,0,0,0,0,1,0,0,0,0,0,0,__NA__, ,2,1,3,5,1,4,0, , ,0, , ,4,5,3,4,1,1,1,0,0,0,1,1,0,0,0,0,0,__NA__,8,4,3,7,6,5,2,1,9,There has to be cooperation in Congress and that’s been impossible lately because the Republican Party opposes everything brought forward by Democrats just to please their ignorant constituents.,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,5,10,0,0,50,10,25,0
1450, , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,,5,,4,5,0, , ,1,1,1,100,1,99,3,2,1, , , , , , , , ,98,98,98,2,5,2,1,1,1,1,1,1,3,3,3,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,0,__NA__,0,0,0,0,0,0,0,0,0,1,0,__NA__, ,3,3,3,3,1,1,0, , ,0, , ,5,5,5,5,3,4,0,0,0,0,0,0,0,0,0,0,1,__NA__,7,2,3,4,9,1,5,6,8,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,25,25,0,0,25,25,0,0
1457, , , , , , , , , , , , , , ,2, , , , ,3,3,3,1,1,3,3,Yes,2,,3,2,0, , ,3,3,3, ,2, ,4,4,1,4,3,3,4,3,3,5,3,2,2, ,2,5, ,1,1, ,3,3, ,2,5, ,3,3, ,5,3,4,1,1,0,0,0,0,0,0,0,0,0,__NA__,0,0,0,0,0,0,0,0,0,0,1,__NA__,31,1,2,4,3,1,7,1,5,3,0, , ,3,3,3,4,1,3,0,0,1,1,0,0,1,0,0,0,0,__NA__,9,8,4,6,7,1,3,5,2,Better laws on insurance companies that don't pay out after flooding.,1,0,1,0,0,0,1,0,1,0,0,0, , , , , , ,1,0,0,0,0,0,1,0,0,0,0,0, , , , , , ,0,1,1,0,0,0,1,1,0,0, , , , , ,1,1,0,1,0,1,1,1,0,1,0,1, , , , , , ,,,,10,0,0,0,30,30,30,0
1621, , , , , , , , , , , ,2, , , , , , , ,3,3,3,3,3,3,3,I bought some waterproof lining as a barrier around the front and patio doors.,98,,3,2,1,1, ,2,3,3, ,2, ,0, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,0,0,0,0,0,0,0,0,0,1,0,__NA__,0,1,0,0,0,0,0,0,0,0,0,__NA__, ,1,1,4,1,4,4,1,4,2,0, , ,1,1,3,4,4,2,0,0,0,0,1,1,1,0,0,0,0,__NA__,7,9,4,1,6,2,5,3,8,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,5,20,0,0,20,30,20,5
